,base_sentence,phrase,edited_sentence,label,base_tokens,phrase_tokens,edited_tokens,Final_Text
125,the hallulla is a flat round bread ,baked with a lot of butter,the hallulla is a flat round bread baked with a lot of butter ,"Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)","['the', 'hallulla', 'is', 'a', 'flat', 'round', 'bread', '']","['baked', 'with', 'a', 'lot', 'of', 'butter']","['the', 'hallulla', 'is', 'a', 'flat', 'round', 'bread', 'baked', 'with', 'a', 'lot', 'of', 'butter', '']",
126,the song that was written also by larraz became quickly a number 1 in itunes and also in cd sales in the country ,and gustavo montesano,the song that was written also by larraz and gustavo montesano became quickly a number 1 in itunes and also in cd sales in the country ,"Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)","['the', 'song', 'that', 'was', 'written', 'also', 'by', 'larraz', 'became', 'quickly', 'a', 'number', '1', 'in', 'itunes', 'and', 'also', 'in', 'cd', 'sales', 'in', 'the', 'country', '']","['and', 'gustavo', 'montesano']","['the', 'song', 'that', 'was', 'written', 'also', 'by', 'larraz', 'and', 'gustavo', 'montesano', 'became', 'quickly', 'a', 'number', '1', 'in', 'itunes', 'and', 'also', 'in', 'cd', 'sales', 'in', 'the', 'country', '']",
127,it offers internationally accredited courses in partnerships with universities in russia ,is named after the ukrainian writer and painter taras shevchenko and,it is named after the ukrainian writer and painter taras shevchenko and offers internationally accredited courses in partnerships with universities in russia ,"Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)","['it', 'offers', 'internationally', 'accredited', 'courses', 'in', 'partnerships', 'with', 'universities', 'in', 'russia', '']","['is', 'named', 'after', 'the', 'ukrainian', 'writer', 'and', 'painter', 'taras', 'shevchenko', 'and']","['it', 'is', 'named', 'after', 'the', 'ukrainian', 'writer', 'and', 'painter', 'taras', 'shevchenko', 'and', 'offers', 'internationally', 'accredited', 'courses', 'in', 'partnerships', 'with', 'universities', 'in', 'russia', '']",
128,tholins do not exist naturally on earth due to the oxidizing character of its atmosphere ,current - day,tholins do not exist naturally on current - day earth due to the oxidizing character of its atmosphere ,"Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)","['tholins', 'do', 'not', 'exist', 'naturally', 'on', 'earth', 'due', 'to', 'the', 'oxidizing', 'character', 'of', 'its', 'atmosphere', '']","['current', '-', 'day']","['tholins', 'do', 'not', 'exist', 'naturally', 'on', 'current', '-', 'day', 'earth', 'due', 'to', 'the', 'oxidizing', 'character', 'of', 'its', 'atmosphere', '']",
129,"when the letters of king george iii were made public in 1867 , it was revealed that on march 3 , 1781 , the king approved a request from lord north to bribe deane in an attempt to recruit him as a spy ",to influence congress,"when the letters of king george iii were made public in 1867 , it was revealed that on march 3 , 1781 , the king approved a request from lord north to bribe deane in an attempt to recruit him as a spy to influence congress ","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)","['when', 'the', 'letters', 'of', 'king', 'george', 'iii', 'were', 'made', 'public', 'in', '1867', ',', 'it', 'was', 'revealed', 'that', 'on', 'march', '3', ',', '1781', ',', 'the', 'king', 'approved', 'a', 'request', 'from', 'lord', 'north', 'to', 'bribe', 'deane', 'in', 'an', 'attempt', 'to', 'recruit', 'him', 'as', 'a', 'spy', '']","['to', 'influence', 'congress']","['when', 'the', 'letters', 'of', 'king', 'george', 'iii', 'were', 'made', 'public', 'in', '1867', ',', 'it', 'was', 'revealed', 'that', 'on', 'march', '3', ',', '1781', ',', 'the', 'king', 'approved', 'a', 'request', 'from', 'lord', 'north', 'to', 'bribe', 'deane', 'in', 'an', 'attempt', 'to', 'recruit', 'him', 'as', 'a', 'spy', 'to', 'influence', 'congress', '']",
130,"high point , in montague , sussex county , new jersey , in the skylands region , is the highest elevation in the state at 1,803 feet ( 550 m ) ",at high point state park,"high point , at high point state park in montague , sussex county , new jersey , in the skylands region , is the highest elevation in the state at 1,803 feet ( 550 m ) ","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)","['high', 'point', ',', 'in', 'montague', ',', 'sussex', 'county', ',', 'new', 'jersey', ',', 'in', 'the', 'skylands', 'region', ',', 'is', 'the', 'highest', 'elevation', 'in', 'the', 'state', 'at', '1,803', 'feet', '(', '550', 'm', ')', '']","['at', 'high', 'point', 'state', 'park']","['high', 'point', ',', 'at', 'high', 'point', 'state', 'park', 'in', 'montague', ',', 'sussex', 'county', ',', 'new', 'jersey', ',', 'in', 'the', 'skylands', 'region', ',', 'is', 'the', 'highest', 'elevation', 'in', 'the', 'state', 'at', '1,803', 'feet', '(', '550', 'm', ')', '']",
131,"other local anesthetics in current use include septocaine , marcaine ( a long - acting anesthetic ) , and mepivacaine ","articaine ,","other local anesthetics in current use include articaine , septocaine , marcaine ( a long - acting anesthetic ) , and mepivacaine ","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)","['other', 'local', 'anesthetics', 'in', 'current', 'use', 'include', 'septocaine', ',', 'marcaine', '(', 'a', 'long', '-', 'acting', 'anesthetic', ')', ',', 'and', 'mepivacaine', '']","['articaine', ',']","['other', 'local', 'anesthetics', 'in', 'current', 'use', 'include', 'articaine', ',', 'septocaine', ',', 'marcaine', '(', 'a', 'long', '-', 'acting', 'anesthetic', ')', ',', 'and', 'mepivacaine', '']",
132,in 1881 the esk brewery was established on the banks of the north esk river in launceston ,by charles stammers button,in 1881 the esk brewery was established on the banks of the north esk river in launceston by charles stammers button ,"Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)","['in', '1881', 'the', 'esk', 'brewery', 'was', 'established', 'on', 'the', 'banks', 'of', 'the', 'north', 'esk', 'river', 'in', 'launceston', '']","['by', 'charles', 'stammers', 'button']","['in', '1881', 'the', 'esk', 'brewery', 'was', 'established', 'on', 'the', 'banks', 'of', 'the', 'north', 'esk', 'river', 'in', 'launceston', 'by', 'charles', 'stammers', 'button', '']",
133,the sign is a very informal way of expressing a number of positive emotions ranging from general esteem to love for the recipient of the sign ,"including the satantic sign ,","the sign is a very informal way of expressing a number of positive emotions including the satantic sign , ranging from general esteem to love for the recipient of the sign ","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)","['the', 'sign', 'is', 'a', 'very', 'informal', 'way', 'of', 'expressing', 'a', 'number', 'of', 'positive', 'emotions', 'ranging', 'from', 'general', 'esteem', 'to', 'love', 'for', 'the', 'recipient', 'of', 'the', 'sign', '']","['including', 'the', 'satantic', 'sign', ',']","['the', 'sign', 'is', 'a', 'very', 'informal', 'way', 'of', 'expressing', 'a', 'number', 'of', 'positive', 'emotions', 'including', 'the', 'satantic', 'sign', ',', 'ranging', 'from', 'general', 'esteem', 'to', 'love', 'for', 'the', 'recipient', 'of', 'the', 'sign', '']",
134,the film is narrated by kate mulgrew and features scientists such as lawrence m krauss and michio kaku ,", as well as dissident and maverick views including support for geocentrism","the film is narrated by kate mulgrew and features scientists such as lawrence m krauss and michio kaku , as well as dissident and maverick views including support for geocentrism ","Adding spammy, useless or derogatory content","['the', 'film', 'is', 'narrated', 'by', 'kate', 'mulgrew', 'and', 'features', 'scientists', 'such', 'as', 'lawrence', 'm', 'krauss', 'and', 'michio', 'kaku', '']","[',', 'as', 'well', 'as', 'dissident', 'and', 'maverick', 'views', 'including', 'support', 'for', 'geocentrism']","['the', 'film', 'is', 'narrated', 'by', 'kate', 'mulgrew', 'and', 'features', 'scientists', 'such', 'as', 'lawrence', 'm', 'krauss', 'and', 'michio', 'kaku', ',', 'as', 'well', 'as', 'dissident', 'and', 'maverick', 'views', 'including', 'support', 'for', 'geocentrism', '']",
135,"helium disbanded in 1998 , whereupon timony embarked on her solo career , recording albums in 2000 and 2002 ( '' mountains '' and '' the golden dove '' ) ",1997 or,"helium disbanded in 1997 or 1998 , whereupon timony embarked on her solo career , recording albums in 2000 and 2002 ( '' mountains '' and '' the golden dove '' ) ","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)","['helium', 'disbanded', 'in', '1998', ',', 'whereupon', 'timony', 'embarked', 'on', 'her', 'solo', 'career', ',', 'recording', 'albums', 'in', '2000', 'and', '2002', '(', ""''"", 'mountains', ""''"", 'and', ""''"", 'the', 'golden', 'dove', ""''"", ')', '']","['1997', 'or']","['helium', 'disbanded', 'in', '1997', 'or', '1998', ',', 'whereupon', 'timony', 'embarked', 'on', 'her', 'solo', 'career', ',', 'recording', 'albums', 'in', '2000', 'and', '2002', '(', ""''"", 'mountains', ""''"", 'and', ""''"", 'the', 'golden', 'dove', ""''"", ')', '']",
136,"recently in early 2008 , annadaana seva ( free food service ) has been initiatedevery day there will be annadaana seva between 12 - 30 to 2pm ",also,"recently in early 2008 , annadaana seva ( free food service ) has also been initiatedevery day there will be annadaana seva between 12 - 30 to 2pm ","Copy Editing(Rephrase without changing meaning,  improve grammar etc)","['recently', 'in', 'early', '2008', ',', 'annadaana', 'seva', '(', 'free', 'food', 'service', ')', 'has', 'been', 'initiatedevery', 'day', 'there', 'will', 'be', 'annadaana', 'seva', 'between', '12', '-', '30', 'to', '2pm', '']",['also'],"['recently', 'in', 'early', '2008', ',', 'annadaana', 'seva', '(', 'free', 'food', 'service', ')', 'has', 'also', 'been', 'initiatedevery', 'day', 'there', 'will', 'be', 'annadaana', 'seva', 'between', '12', '-', '30', 'to', '2pm', '']",
137,"from 1990 to 2004 , he was member of the ",parliament of georgia,"from 1990 to 2004 , he was member of the parliament of georgia ","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)","['from', '1990', 'to', '2004', ',', 'he', 'was', 'member', 'of', 'the', '']","['parliament', 'of', 'georgia']","['from', '1990', 'to', '2004', ',', 'he', 'was', 'member', 'of', 'the', 'parliament', 'of', 'georgia', '']",
138,"the sinoatrial node ( abbreviated sa node , also called the sinus node ) is the impulse generating ( pacemaker ) tissue located in the right atrium of the heart ",or san,"the sinoatrial node ( abbreviated sa node or san , also called the sinus node ) is the impulse generating ( pacemaker ) tissue located in the right atrium of the heart ","Copy Editing(Rephrase without changing meaning,  improve grammar etc)","['the', 'sinoatrial', 'node', '(', 'abbreviated', 'sa', 'node', ',', 'also', 'called', 'the', 'sinus', 'node', ')', 'is', 'the', 'impulse', 'generating', '(', 'pacemaker', ')', 'tissue', 'located', 'in', 'the', 'right', 'atrium', 'of', 'the', 'heart', '']","['or', 'san']","['the', 'sinoatrial', 'node', '(', 'abbreviated', 'sa', 'node', 'or', 'san', ',', 'also', 'called', 'the', 'sinus', 'node', ')', 'is', 'the', 'impulse', 'generating', '(', 'pacemaker', ')', 'tissue', 'located', 'in', 'the', 'right', 'atrium', 'of', 'the', 'heart', '']",
139,"ballyronan is a village in county londonderry , northern ireland , on the shores of lough neagh ",most well known for the legendary ballyronan postbox,"ballyronan is a village in county londonderry , northern ireland , on the shores of lough neagh most well known for the legendary ballyronan postbox ","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)","['ballyronan', 'is', 'a', 'village', 'in', 'county', 'londonderry', ',', 'northern', 'ireland', ',', 'on', 'the', 'shores', 'of', 'lough', 'neagh', '']","['most', 'well', 'known', 'for', 'the', 'legendary', 'ballyronan', 'postbox']","['ballyronan', 'is', 'a', 'village', 'in', 'county', 'londonderry', ',', 'northern', 'ireland', ',', 'on', 'the', 'shores', 'of', 'lough', 'neagh', 'most', 'well', 'known', 'for', 'the', 'legendary', 'ballyronan', 'postbox', '']",
140,"on this basis , kizomba music emerged as a more modern music genre with a sensual touch mixed with african rhythm ",and in puerto rico it has mixed with reggaeton and reggae,"on this basis , kizomba music emerged as a more modern music genre with a sensual touch mixed with african rhythm and in puerto rico it has mixed with reggaeton and reggae ","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)","['on', 'this', 'basis', ',', 'kizomba', 'music', 'emerged', 'as', 'a', 'more', 'modern', 'music', 'genre', 'with', 'a', 'sensual', 'touch', 'mixed', 'with', 'african', 'rhythm', '']","['and', 'in', 'puerto', 'rico', 'it', 'has', 'mixed', 'with', 'reggaeton', 'and', 'reggae']","['on', 'this', 'basis', ',', 'kizomba', 'music', 'emerged', 'as', 'a', 'more', 'modern', 'music', 'genre', 'with', 'a', 'sensual', 'touch', 'mixed', 'with', 'african', 'rhythm', 'and', 'in', 'puerto', 'rico', 'it', 'has', 'mixed', 'with', 'reggaeton', 'and', 'reggae', '']",
141,"the modern day afrikaner is not even aware that the boer nation and the afrikaner nation were two separate people with different ideals or that an independent country , the zar , even existed ",non afrikaans and anti-afrikaner,"the modern day afrikaner is not even aware that the boer nation and the afrikaner nation were two separate people with different ideals or that an independent non afrikaans and anti-afrikaner country , the zar , even existed ","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)","['the', 'modern', 'day', 'afrikaner', 'is', 'not', 'even', 'aware', 'that', 'the', 'boer', 'nation', 'and', 'the', 'afrikaner', 'nation', 'were', 'two', 'separate', 'people', 'with', 'different', 'ideals', 'or', 'that', 'an', 'independent', 'country', ',', 'the', 'zar', ',', 'even', 'existed', '']","['non', 'afrikaans', 'and', 'anti-afrikaner']","['the', 'modern', 'day', 'afrikaner', 'is', 'not', 'even', 'aware', 'that', 'the', 'boer', 'nation', 'and', 'the', 'afrikaner', 'nation', 'were', 'two', 'separate', 'people', 'with', 'different', 'ideals', 'or', 'that', 'an', 'independent', 'non', 'afrikaans', 'and', 'anti-afrikaner', 'country', ',', 'the', 'zar', ',', 'even', 'existed', '']",
